,dataset,features version,pipeline,pca_n_componenets,name,adjusted_r2,r2,mae,mape,time,params
22,ShorterThan1.2Kms,split inputs,single step,8,DecisionTreeRegressor(random_state=5),0.68912486,0.68930068,88.86497996,37.43859051,0.0020662000024458393,"{'criterion': 'mse', 'max_depth': 10}"
23,ShorterThan1.2Kms,split inputs,single step,8,MLPRegressor(random_state=5),0.67383884,0.6740217,98.02137483,44.87133012,0.06243289999838453,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,inputs count + split args,single step,,KNeighborsRegressor(),0.76531047,0.76611283,75.02814277,31.35994017,27.0730761,"{'n_neighbors': 25, 'weights': 'distance'}"
1,ShorterThan1.2Kms,inputs count + split args,single step,,DecisionTreeRegressor(random_state=5),0.72783063,0.72871927,81.61056522,35.19763033,0.01127250001,"{'criterion': 'mse', 'max_depth': 10}"
2,ShorterThan1.2Kms,inputs count + split args,single step,,MLPRegressor(random_state=5),0.7216242,0.72252713,85.68798737,38.53519376,0.1616888,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,ShorterThan1.2Kms,inputs count + split args,single step,1,KNeighborsRegressor(),0.36597086,0.36600735,145.81176796,73.16151834,0.05254090000380529,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,ShorterThan1.2Kms,inputs count + split args,single step,1,DecisionTreeRegressor(random_state=5),0.38320535,0.38324085,144.6213795,72.73240423,0.0006966999935684726,"{'criterion': 'mse', 'max_depth': 5}"
2,ShorterThan1.2Kms,inputs count + split args,single step,1,MLPRegressor(random_state=5),0.25647064,0.25651343,160.02655067,82.00035974,0.046073099998466205,"{'activation': 'logistic', 'hidden_layer_sizes': (100, 50, 25)}"
3,ShorterThan1.2Kms,inputs count + split args,single step,2,KNeighborsRegressor(),0.55251171,0.55257632,111.8583349,53.54716752,0.09933440000168048,"{'n_neighbors': 25, 'weights': 'uniform'}"
4,ShorterThan1.2Kms,inputs count + split args,single step,2,DecisionTreeRegressor(random_state=5),0.57834834,0.57840998,107.5226988,51.01083266,0.0015275000041583553,"{'criterion': 'mse', 'max_depth': 10}"
5,ShorterThan1.2Kms,inputs count + split args,single step,2,MLPRegressor(random_state=5),0.54421944,0.54428501,114.9251775,56.53281628,0.18122690000018338,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,ShorterThan1.2Kms,inputs count + split args,single step,3,KNeighborsRegressor(),0.65425282,0.65433217,94.60458601,41.07920197,0.14860599999519764,"{'n_neighbors': 25, 'weights': 'distance'}"
7,ShorterThan1.2Kms,inputs count + split args,single step,3,DecisionTreeRegressor(random_state=5),0.64458648,0.6446675,96.2560797,43.14993921,0.0015845999951125123,"{'criterion': 'mse', 'max_depth': 10}"
8,ShorterThan1.2Kms,inputs count + split args,single step,3,MLPRegressor(random_state=5),0.63588981,0.63597234,100.8993817,46.47486213,0.11392280000291066,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,ShorterThan1.2Kms,inputs count + split args,single step,4,KNeighborsRegressor(),0.67467542,0.67477652,92.12814222,39.75617577,0.2130851000038092,"{'n_neighbors': 25, 'weights': 'distance'}"
10,ShorterThan1.2Kms,inputs count + split args,single step,4,DecisionTreeRegressor(random_state=5),0.65291137,0.65301749,95.3695759,42.66517265,0.001841700002842117,"{'criterion': 'mse', 'max_depth': 10}"
11,ShorterThan1.2Kms,inputs count + split args,single step,4,MLPRegressor(random_state=5),0.65964031,0.65974488,93.13219088,38.59122992,0.05146319999767002,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,ShorterThan1.2Kms,inputs count + split args,single step,5,KNeighborsRegressor(),0.67444961,0.67457606,92.6525297,40.28679773,0.29710839999461314,"{'n_neighbors': 25, 'weights': 'distance'}"
13,ShorterThan1.2Kms,inputs count + split args,single step,5,DecisionTreeRegressor(random_state=5),0.65707171,0.65720316,94.76010425,42.64610239,0.0018576000002212822,"{'criterion': 'mse', 'max_depth': 10}"
