,dataset,features version,pipeline,name,adjusted_r2,r2,mae,mape,time,params
1,mProject,split inputs,two steps clf,DecisionTreeRegressor(random_state=5),0.69511012,0.69844271,3065.75359107,15.73848654,0.0025539000052958727,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,split inputs,two steps clf,MLPRegressor(random_state=5),0.64141965,0.64755452,3039.10775961,15.76925021,0.005999200016958639,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,inputs count + split args,single step,KNeighborsRegressor(),0.76460887,0.76727902,2842.28081092,14.76658021,0.4332593999861274,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mProject,inputs count + split args,single step,DecisionTreeRegressor(random_state=5),0.68842637,0.69172691,3129.62345755,16.06637168,0.0016404000052716583,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,inputs count + split args,single step,MLPRegressor(random_state=5),0.50219756,0.50703909,4075.25815463,20.59377815,0.004839100001845509,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,inputs count + split args,two steps,KNeighborsRegressor(),0.80283931,0.80564297,2728.58957849,14.175917,0.4518466999870725,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mProject,inputs count + split args,two steps,DecisionTreeRegressor(random_state=5),0.73661622,0.7401478,2941.8460501,15.10238938,0.0015050999936647713,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,inputs count + split args,two steps,MLPRegressor(random_state=5),0.71811113,0.72497952,2769.28043516,14.36917659,0.004429599997820333,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,inputs count + split args,two steps clf,KNeighborsRegressor(),0.78754714,0.79029739,2757.01238659,14.3235828,0.4418619999778457,"{'n_neighbors': 15, 'weights': 'distance'}"
1,mProject,inputs count + split args,two steps clf,DecisionTreeRegressor(random_state=5),0.71596342,0.71939599,3004.43851925,15.42371681,0.0019222999981138855,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,inputs count + split args,two steps clf,MLPRegressor(random_state=5),0.66066224,0.66698116,2963.13006562,15.37501895,0.004738799994811416,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,split inputs and args,single step,KNeighborsRegressor(),0.76870717,0.77139164,2835.1751089,14.72966376,0.43688120000297204,"{'n_neighbors': 10, 'weights': 'distance'}"
1,mProject,split inputs and args,single step,DecisionTreeRegressor(random_state=5),0.69211633,0.69543457,3121.79939891,16.02620575,0.0014776999887544662,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,split inputs and args,single step,MLPRegressor(random_state=5),0.50488933,0.50975682,4065.07000924,20.54229371,0.003857200004858896,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,split inputs and args,two steps,KNeighborsRegressor(),0.80714253,0.80996122,2721.76810454,14.14047721,0.40649320001830347,"{'n_neighbors': 5, 'weights': 'distance'}"
1,mProject,split inputs and args,two steps,DecisionTreeRegressor(random_state=5),0.74056448,0.74411499,2934.49143497,15.0646334,0.0013442999916151166,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,split inputs and args,two steps,MLPRegressor(random_state=5),0.72098358,0.72787944,2763.74187429,14.34043824,0.00620199998957105,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mProject,split inputs and args,two steps clf,KNeighborsRegressor(),0.79176839,0.79453339,2750.11985563,14.28777385,0.4408400999964215,"{'n_neighbors': 15, 'weights': 'distance'}"
1,mProject,split inputs and args,two steps clf,DecisionTreeRegressor(random_state=5),0.71980099,0.72325195,2996.92742295,15.38515752,0.0018124000052921474,"{'criterion': 'mse', 'max_depth': 10}"
2,mProject,split inputs and args,two steps clf,MLPRegressor(random_state=5),0.66330489,0.66964908,2957.20380549,15.34426892,0.005125800002133474,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,prev,single step,KNeighborsRegressor(),0.38878231,0.39842087,6009.08343478,11.74675566,0.28174229999422096,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,haplotype_caller,prev,single step,DecisionTreeRegressor(random_state=5),0.37469682,0.3845575,6144.65916185,12.07677649,0.0012264999968465418,"{'criterion': 'mse', 'max_depth': 5}"
2,haplotype_caller,prev,single step,MLPRegressor(random_state=5),0.32476622,0.33541428,6377.90693296,12.51239784,0.0033540999866090715,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,prev,two steps,KNeighborsRegressor(),0.44709965,0.458184,5227.90258826,10.21967742,0.3069770000001881,"{'n_neighbors': 5, 'weights': 'distance'}"
1,haplotype_caller,prev,two steps,DecisionTreeRegressor(random_state=5),0.43090134,0.44224112,5345.85347081,10.50679554,0.0014626999909523875,"{'criterion': 'mae', 'max_depth': 15}"
2,haplotype_caller,prev,two steps,MLPRegressor(random_state=5),0.37348115,0.38572642,5548.77903167,10.88578612,0.005202500004088506,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,prev,two steps clf,KNeighborsRegressor(),0.40822142,0.41834191,5768.72009739,11.27688543,0.3114629000192508,"{'n_neighbors': 10, 'weights': 'uniform'}"
1,haplotype_caller,prev,two steps clf,DecisionTreeRegressor(random_state=5),0.39343166,0.40378537,5898.87279538,11.59370543,0.0015198999899439514,"{'criterion': 'mse', 'max_depth': 5}"
2,haplotype_caller,prev,two steps clf,MLPRegressor(random_state=5),0.34100453,0.35218499,6122.79065564,12.01190193,0.0036467999743763357,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,haplotype_caller,inputs count,single step,KNeighborsRegressor(),0.36129588,0.3717152,6200.68927536,12.12090774,0.30076710000867024,"{'n_neighbors': 15, 'weights': 'uniform'}"
1,haplotype_caller,inputs count,single step,DecisionTreeRegressor(random_state=5),0.37435115,0.3845575,6144.65916185,12.07677649,0.0012304999982006848,"{'criterion': 'mse', 'max_depth': 5}"
2,haplotype_caller,inputs count,single step,MLPRegressor(random_state=5),0.32446052,0.33548074,6347.60640722,12.3214876,0.0035370999830774963,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
