,dataset,features version,pipeline,pca_n_componenets,name,adjusted_r2,r2,mae,mape,time,params
2,mDiffFit,inputs count + split args,single step,1,MLPRegressor(random_state=5),0.03800963,0.03807873,763.65625801,252.4570427,0.11239209999985178,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
3,mDiffFit,inputs count + split args,single step,2,KNeighborsRegressor(),0.69822574,0.69830796,366.66289687,77.72512826,0.06820429999788757,"{'n_neighbors': 20, 'weights': 'distance'}"
4,mDiffFit,inputs count + split args,single step,2,DecisionTreeRegressor(random_state=5),0.63101954,0.63111141,406.8093708,90.84528337,0.0012611999991349876,"{'criterion': 'mse', 'max_depth': 10}"
5,mDiffFit,inputs count + split args,single step,2,MLPRegressor(random_state=5),0.36448162,0.36461179,547.06433108,172.91449652,0.1029686000001675,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,mDiffFit,inputs count + split args,single step,3,KNeighborsRegressor(),0.70417997,0.70430201,346.87049799,63.779967,0.08395609999934095,"{'n_neighbors': 20, 'weights': 'distance'}"
7,mDiffFit,inputs count + split args,single step,3,DecisionTreeRegressor(random_state=5),0.48405869,0.48422817,474.04148048,111.39890619,0.000714099998731399,"{'criterion': 'mse', 'max_depth': 5}"
8,mDiffFit,inputs count + split args,single step,3,MLPRegressor(random_state=5),0.55003693,0.55019219,457.33601056,112.02928808,0.052348999997775536,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,mDiffFit,inputs count + split args,single step,4,KNeighborsRegressor(),0.82441206,0.82454023,298.86812183,54.60129927,0.08635449999928824,"{'n_neighbors': 15, 'weights': 'distance'}"
10,mDiffFit,inputs count + split args,single step,4,DecisionTreeRegressor(random_state=5),0.71247152,0.71263186,339.34981949,69.51234907,0.0013294999989739154,"{'criterion': 'mse', 'max_depth': 10}"
11,mDiffFit,inputs count + split args,single step,4,MLPRegressor(random_state=5),0.73548192,0.73563565,366.06819742,79.01272699,0.03683699999965029,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,mDiffFit,inputs count + split args,single step,5,KNeighborsRegressor(),0.82534012,0.82550001,299.78440256,53.93449764,0.0828925000023446,"{'n_neighbors': 10, 'weights': 'distance'}"
13,mDiffFit,inputs count + split args,single step,5,DecisionTreeRegressor(random_state=5),0.73759514,0.73778654,337.52749467,67.92943396,0.0019382999998924788,"{'criterion': 'mse', 'max_depth': 10}"
14,mDiffFit,inputs count + split args,single step,5,MLPRegressor(random_state=5),0.72985302,0.7300472,374.9454209,81.31096537,0.05444999999963329,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,mDiffFit,inputs count + split args,single step,6,KNeighborsRegressor(),0.77872455,0.77893651,321.07195432,60.47176577,0.11831710000114981,"{'n_neighbors': 10, 'weights': 'distance'}"
16,mDiffFit,inputs count + split args,single step,6,DecisionTreeRegressor(random_state=5),0.73109883,0.73133131,338.75485109,68.18144748,0.0015698999995947815,"{'criterion': 'mse', 'max_depth': 10}"
17,mDiffFit,inputs count + split args,single step,6,MLPRegressor(random_state=5),0.70258688,0.70283165,398.64514721,94.25547804,0.04207709999900544,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,mDiffFit,inputs count + split args,single step,7,KNeighborsRegressor(),0.50644573,0.50682992,424.03361657,91.97971199,0.20678179999958957,"{'n_neighbors': 10, 'weights': 'distance'}"
19,mDiffFit,inputs count + split args,single step,7,DecisionTreeRegressor(random_state=5),0.7080553,0.70833812,342.9830354,69.93125906,0.00166700000045239,"{'criterion': 'mse', 'max_depth': 10}"
20,mDiffFit,inputs count + split args,single step,7,MLPRegressor(random_state=5),0.7063645,0.70664817,382.99660441,81.35666404,0.04666480000014417,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
21,mDiffFit,inputs count + split args,single step,8,KNeighborsRegressor(),0.41409338,0.41458553,450.23839917,100.07316954,0.24901930000123684,"{'n_neighbors': 10, 'weights': 'distance'}"
22,mDiffFit,inputs count + split args,single step,8,DecisionTreeRegressor(random_state=5),0.70861848,0.70894137,341.95219069,69.06171054,0.0015285000008589122,"{'criterion': 'mse', 'max_depth': 10}"
23,mDiffFit,inputs count + split args,single step,8,MLPRegressor(random_state=5),0.70080551,0.7011329,374.33205327,82.08968865,0.037050300001283176,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
0,mDiffFit,split inputs and args,single step,1,KNeighborsRegressor(),0.00871683,0.00878804,750.8255107,230.81407355,0.04573329999766429,"{'n_neighbors': 25, 'weights': 'uniform'}"
1,mDiffFit,split inputs and args,single step,1,DecisionTreeRegressor(random_state=5),0.04323969,0.04330842,741.04718382,231.70899223,0.000596199999563396,"{'criterion': 'mse', 'max_depth': 5}"
2,mDiffFit,split inputs and args,single step,1,MLPRegressor(random_state=5),0.04344697,0.04351568,767.80252773,251.19871268,0.1251706999973976,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
3,mDiffFit,split inputs and args,single step,2,KNeighborsRegressor(),0.68220165,0.68228617,369.47227475,81.10634803,0.0580749000000651,"{'n_neighbors': 15, 'weights': 'distance'}"
4,mDiffFit,split inputs and args,single step,2,DecisionTreeRegressor(random_state=5),0.46228404,0.46240016,503.74407514,143.33595886,0.0007001999983913265,"{'criterion': 'mse', 'max_depth': 5}"
5,mDiffFit,split inputs and args,single step,2,MLPRegressor(random_state=5),0.3362282,0.33636243,651.63900609,241.40265009,0.13218010000127833,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
6,mDiffFit,split inputs and args,single step,3,KNeighborsRegressor(),0.70866642,0.70878749,345.55137284,63.69145322,0.07203930000105174,"{'n_neighbors': 15, 'weights': 'distance'}"
7,mDiffFit,split inputs and args,single step,3,DecisionTreeRegressor(random_state=5),0.50919106,0.50935513,476.44339445,134.53394628,0.0006386999993992504,"{'criterion': 'mse', 'max_depth': 5}"
8,mDiffFit,split inputs and args,single step,3,MLPRegressor(random_state=5),0.5175609,0.51772316,535.16194412,155.92723126,0.06790049999835901,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
9,mDiffFit,split inputs and args,single step,4,KNeighborsRegressor(),0.82823458,0.82836166,300.15529812,55.15970761,0.08678750000035507,"{'n_neighbors': 15, 'weights': 'distance'}"
10,mDiffFit,split inputs and args,single step,4,DecisionTreeRegressor(random_state=5),0.5281079,0.52832122,359.42690814,77.15160433,0.0013482999966072384,"{'criterion': 'mse', 'max_depth': 10}"
11,mDiffFit,split inputs and args,single step,4,MLPRegressor(random_state=5),0.71109933,0.71126007,384.82098988,86.09589872,0.03226089999952819,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
12,mDiffFit,split inputs and args,single step,5,KNeighborsRegressor(),0.8295701,0.82972847,298.74104282,53.7499609,0.08702429999902961,"{'n_neighbors': 10, 'weights': 'distance'}"
13,mDiffFit,split inputs and args,single step,5,DecisionTreeRegressor(random_state=5),0.6149264,0.61516186,349.91016056,69.67631843,0.0014602000010199845,"{'criterion': 'mse', 'max_depth': 10}"
14,mDiffFit,split inputs and args,single step,5,MLPRegressor(random_state=5),0.71437792,0.71457766,386.20002531,87.82963915,0.05227219999869703,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
15,mDiffFit,split inputs and args,single step,6,KNeighborsRegressor(),0.77718105,0.77739367,320.84138831,60.43369596,0.12255999999979394,"{'n_neighbors': 10, 'weights': 'distance'}"
16,mDiffFit,split inputs and args,single step,6,DecisionTreeRegressor(random_state=5),0.59499769,0.59528883,352.10373361,69.59816762,0.0015749999984109309,"{'criterion': 'mse', 'max_depth': 10}"
17,mDiffFit,split inputs and args,single step,6,MLPRegressor(random_state=5),0.72284341,0.72307945,384.16924254,84.1524851,0.0337282000000414,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
18,mDiffFit,split inputs and args,single step,7,KNeighborsRegressor(),0.50286811,0.5032541,425.18045338,92.34994448,0.2259784000016225,"{'n_neighbors': 10, 'weights': 'distance'}"
19,mDiffFit,split inputs and args,single step,7,DecisionTreeRegressor(random_state=5),0.57576473,0.57611407,351.94486395,72.07562411,0.001471200001105899,"{'criterion': 'mse', 'max_depth': 10}"
20,mDiffFit,split inputs and args,single step,7,MLPRegressor(random_state=5),0.69265843,0.69294899,416.32902972,105.068441,0.042421900001500035,"{'activation': 'relu', 'hidden_layer_sizes': (100, 50, 25)}"
21,mDiffFit,split inputs and args,single step,8,KNeighborsRegressor(),0.41237835,0.41287149,451.9455607,101.0502686,0.27086440000130096,"{'n_neighbors': 10, 'weights': 'distance'}"
